time;CH1;CH2
0.3108;5;1.84
0.3112;5;1.84
0.3116;5;1.84
0.312;5;1.84
0.3124;5;1.84
0.3128;5;1.84
0.3132;5.2;1.84
0.3136;5;1.84
0.314;5;1.84
0.3144;5.2;1.84
0.3148;5;1.84
0.3152;5;1.84
0.3156;5;1.92
0.316;5.2;1.92
0.3164;5.2;1.84
0.3168;5.2;1.92
0.3172;5;1.84
0.3176;5.2;1.92
0.318;5.2;1.84
0.3184;5.2;1.84
0.3188;5.2;1.84
0.3192;5.2;1.84
0.3196;5.2;1.92
0.32;5.2;1.92
0.3204;5.2;1.92
0.3208;5.2;1.92
0.3212;5.2;1.84
0.3216;5.2;1.92
0.322;5.2;1.92
0.3224;5.4;1.92
0.3228;5.2;1.92
0.3232;5.2;1.92
0.3236;5.4;1.84
0.324;5.2;1.92
0.3244;5.2;1.92
0.3248;5.4;1.84
0.3252;5.2;1.92
0.3256;5.2;1.84
0.326;5.4;1.92
0.3264;5.2;1.92
0.3268;5.4;1.92
0.3272;5.4;1.92
0.3276;5.4;1.92
0.328;5.2;1.92
0.3284;5.4;1.92
0.3288;5.4;1.92
0.3292;5.4;1.92
0.3296;5.4;1.92
0.33;5.4;1.92
0.3304;5.4;1.92
0.3308;5.4;1.92
0.3312;5.4;1.92
0.3316;5.4;1.92
0.332;5.4;1.92
0.3324;5.4;1.92
0.3328;5.4;1.92
0.3332;5.4;1.92
0.3336;5.4;1.92
0.334;5.4;1.92
0.3344;5.4;1.92
0.3348;5.4;1.92
0.3352;5.4;1.92
0.3356;5.4;1.92
0.336;5.4;1.92
0.3364;5.4;1.92
0.3368;5.4;1.92
0.3372;5.4;1.92
0.3376;5.4;1.92
0.338;5.6;1.92
0.3384;5.6;1.92
0.3388;5.6;1.92
0.3392;5.4;1.92
0.3396;5.6;1.92
0.34;5.4;1.92
0.3404;5.6;1.92
0.3408;5.4;1.92
0.3412;5.4;1.92
0.3416;5.4;2
0.342;5.6;1.92
0.3424;5.6;1.92
0.3428;5.6;1.92
0.3432;5.4;1.92
0.3436;5.6;2
0.344;5.4;1.92
0.3444;5.6;1.92
0.3448;5.6;1.92
0.3452;5.6;1.92
0.3456;5.6;1.92
0.346;5.6;1.92
0.3464;5.6;2
0.3468;5.6;2
0.3472;5.6;1.92
0.3476;5.6;1.92
0.348;5.6;1.92
0.3484;5.6;1.92
0.3488;5.6;2
0.3492;5.6;2
0.3496;5.6;2
0.35;5.6;1.92
0.3504;5.8;2
0.3508;5.8;1.92
0.3512;5.8;1.92
0.3516;5.8;1.92
0.352;5.8;1.92
0.3524;5.8;2
0.3528;5.8;1.92
0.3532;5.6;2
0.3536;5.8;2
0.354;5.6;2
0.3544;5.8;2
0.3548;5.8;1.92
0.3552;5.8;2
0.3556;5.8;2
0.356;5.8;2
0.3564;5.8;2
0.3568;5.8;2
0.3572;6;2
0.3576;5.8;2
0.358;5.8;2
0.3584;5.8;2
0.3588;5.8;2
0.3592;5.8;1.92
0.3596;5.8;2
0.36;6;2
0.3604;6;2
0.3608;5.8;2
0.3612;5.8;2
0.3616;5.8;2
0.362;6;2
0.3624;6;2
0.3628;6;2
0.3632;6;2
0.3636;5.8;2
0.364;6;2
0.3644;5.8;2
0.3648;6;1.92
0.3652;6;2
0.3656;6;2
0.366;5.8;2
0.3664;6;2
0.3668;6;2
0.3672;6;2
0.3676;6;2
0.368;6;2
0.3684;6;2
0.3688;6;2
0.3692;6;2
0.3696;6;2
0.37;6;2
0.3704;6;2
0.3708;6;2
0.3712;6;2
0.3716;6;2
0.372;6;2
0.3724;6;2
0.3728;6;2
0.3732;6;2
0.3736;6.2;2
0.374;6.2;2
0.3744;6.2;2
0.3748;6.2;2
0.3752;6.2;2
0.3756;6.2;2
0.376;6.2;2
0.3764;6.2;2
0.3768;6.2;2
0.3772;6.2;2
0.3776;6.2;2
0.378;6.2;2
0.3784;6.2;2.08
0.3788;6.2;2
0.3792;6.2;2
0.3796;6.2;2
0.38;6.2;2
0.3804;6.2;2
0.3808;6.2;2
0.3812;6.2;2
0.3816;6.2;2
0.382;6.2;2
0.3824;6.2;2
0.3828;6.2;2.08
0.3832;6.2;2.08
0.3836;6.2;2.08
0.384;6.2;2.08
0.3844;6.2;2
0.3848;6.2;2
0.3852;6.2;2
0.3856;6.2;2
0.386;6.2;2
0.3864;6.4;2
0.3868;6.2;2
0.3872;6.4;2
0.3876;6.4;2
0.388;6.2;2
0.3884;6.2;2.08
0.3888;6.4;2
0.3892;6.4;2.08
0.3896;6.2;2.08
0.39;6.4;2
0.3904;6.4;2.08
0.3908;6.4;2.08
0.3912;6.4;2
0.3916;6.4;2
0.392;6.4;2.08
0.3924;6.4;2.08
0.3928;6.2;2.08
0.3932;6.4;2.08
